Domain,ipinurl,splchar,dots,urllength,urldepth,tinyurl,prefixSuffix,redir,domainAge,domainEnd,dns,label
olx.ro,0,0,0,0,5,0,0,0,1,1,1,0
hubpages.com,0,0,0,0,4,0,0,0,0,1,0,0
skyrock.com,0,0,0,0,2,0,0,0,0,1,0,0
vnexpress.net,0,0,0,0,3,0,0,0,0,0,0,0
pikabu.ru,0,0,0,0,2,0,0,0,0,1,0,0
askubuntu.com,0,0,0,0,3,0,0,0,0,0,0,0
tobogo.net,0,0,0,0,2,0,0,0,0,0,0,0
indianexpress.com,0,0,0,0,4,0,0,0,0,0,0,0
distractify.com,0,0,0,0,10,0,0,0,0,1,0,0
censor.net.ua,0,0,0,0,3,0,0,0,0,0,0,0
wikimapia.org,0,0,0,0,3,0,0,0,0,0,0,0
mylust.com,0,0,0,0,3,1,0,0,0,0,0,0
emgn.com,0,0,0,0,2,0,0,0,0,0,0,0
thenextweb.com,0,0,0,0,6,0,0,0,1,1,1,0
censor.net.ua,0,0,0,0,3,0,0,0,0,0,0,0
buzzfil.net,0,0,0,0,4,0,0,0,0,1,0,0
maybank2u.com.my,0,0,0,0,4,0,0,0,1,1,1,0
tobogo.net,0,0,0,0,2,0,0,0,0,0,0,0
privatbank.ua,0,0,0,0,3,0,0,0,0,1,0,0
nypost.com,0,0,0,0,4,1,0,0,1,1,0,0
seekingalpha.com,0,0,0,0,2,0,0,0,0,0,0,0
mic.com,0,0,0,0,3,0,0,0,0,0,0,0
torcache.net,0,0,1,0,2,0,0,0,0,1,0,0
depositphotos.com,0,0,0,0,2,0,0,0,0,0,0,0
steamcommunity.com,0,0,0,0,6,0,0,1,0,1,0,0
mic.com,0,0,0,0,3,0,0,0,0,0,0,0
otomoto.pl,0,0,0,0,4,0,0,0,0,0,0,0
babal.net,0,0,0,0,4,0,0,0,0,1,0,0
pikabu.ru,0,0,0,0,3,0,0,0,0,1,0,0
udn.com,0,0,0,0,4,0,0,0,0,0,0,0
torcache.net,0,0,1,0,2,0,0,0,0,1,0,0
distractify.com,0,0,0,0,10,0,0,0,0,1,0,0
kenh14.vn,0,0,0,0,2,0,0,0,1,1,1,0
sourceforge.net,0,0,0,0,3,0,0,0,0,0,0,0
tunein.com,0,0,0,0,5,0,0,0,0,1,0,0
hubpages.com,0,0,0,0,4,0,0,0,0,1,0,0
xhamster.com,0,0,0,0,3,0,0,0,1,1,1,0
skyrock.com,0,0,0,0,2,0,0,0,0,1,0,0
io9.com,0,0,0,0,2,0,0,0,0,0,0,0
sourceforge.net,0,0,0,0,3,0,0,0,0,0,0,0
icicibank.com,0,0,0,0,3,0,0,0,0,0,0,0
olx.ro,0,0,0,0,5,0,0,0,1,1,1,0
fishki.net,0,0,0,0,1,0,0,0,0,0,0,0
ringring.vn,0,0,0,0,1,0,0,0,1,1,1,0
mic.com,0,0,0,0,3,0,0,0,0,0,0,0
rt.com,0,0,0,0,3,1,0,0,0,0,0,0
twitter.com,0,0,0,0,1,0,0,0,0,1,0,0
soundcloud.com,0,0,0,0,2,0,0,0,0,1,0,0
dantri.com.vn,0,0,0,0,3,0,0,0,1,1,1,0
fanpage.gr,0,0,0,0,3,0,0,0,1,1,1,0
nguyentandung.org,0,0,0,0,1,0,0,0,0,0,0,0
torcache.net,0,0,1,0,2,0,0,0,0,1,0,0
distractify.com,0,0,0,0,10,0,0,0,0,1,0,0
seekingalpha.com,0,0,0,0,2,0,0,0,0,0,0,0
kakaku.com,0,0,0,0,6,0,0,0,0,0,0,0
indianexpress.com,0,0,0,0,4,0,0,0,0,0,0,0
grantland.com,0,0,0,0,2,0,0,0,0,1,0,0
extratorrent.cc,0,0,0,0,3,0,0,0,0,0,0,0
