phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7335848,https://nicolasmezher.com/sharepoint/index.html,http://www.phishtank.com/phish_detail.php?phish_id=7335848,2021-11-01T15:24:49+00:00,yes,2021-11-01T16:27:20+00:00,yes,Other
6818927,https://app.simplenote.com/p/lhwHL9,http://www.phishtank.com/phish_detail.php?phish_id=6818927,2020-10-22T21:34:30+00:00,yes,2020-11-11T11:19:01+00:00,yes,Other
7329753,https://www1.visl.vicaeu.com/,http://www.phishtank.com/phish_detail.php?phish_id=7329753,2021-10-25T21:25:16+00:00,yes,2021-10-28T08:29:56+00:00,yes,Visa
7092333,https://forms.office.com/Pages/ResponsePage.aspx?id=nGREgiPT_k6Tg1M4a_CM6EMdEXHpbtFAo3l5c4FJiNBUNk9QU1UwSTJYS1JUMFNYTlFHMllWSjUzVC4u,http://www.phishtank.com/phish_detail.php?phish_id=7092333,2021-04-30T18:31:48+00:00,yes,2021-05-02T19:55:01+00:00,yes,Other
7326394,https://btinternet7654.square.site/,http://www.phishtank.com/phish_detail.php?phish_id=7326394,2021-10-21T07:42:36+00:00,yes,2021-10-21T07:46:12+00:00,yes,Other
4985589,http://tsuzuki.co.id/model/jeff/chinavali/index.php,http://www.phishtank.com/phish_detail.php?phish_id=4985589,2017-05-06T22:02:33+00:00,yes,2017-06-13T21:08:21+00:00,yes,Other
7267998,http://bit.do/fRCSY,http://www.phishtank.com/phish_detail.php?phish_id=7267998,2021-08-18T19:11:29+00:00,yes,2021-08-18T20:56:04+00:00,yes,Internal Revenue Service
7222192,https://zacma.bialystok.pl/dashboard/usps/verification/,http://www.phishtank.com/phish_detail.php?phish_id=7222192,2021-07-09T18:38:01+00:00,yes,2021-07-09T18:38:52+00:00,yes,Other
6886938,http://xrx6r.mjt.lu/lnk/AMwAAIyFWE0AAAAAAAAAAABs2y4AAAAAF-4AAAAAABaugQBf00XirONdEcXKTUqaR9D47huHfwAWUvg/2/fmnWjyFpbf9SfBAu6z_6xA/aHR0cHM6Ly9iaXQubHkvM2d6TGxiVA,http://www.phishtank.com/phish_detail.php?phish_id=6886938,2020-12-11T14:59:32+00:00,yes,2021-01-04T23:30:54+00:00,yes,"eBay, Inc."
7328315,http://amaznon.co.jp.vnzo.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7328315,2021-10-23T22:40:36+00:00,yes,2021-10-23T22:45:22+00:00,yes,Other
6560851,https://hepsibahisgirisimiz1.blogspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=6560851,2020-05-11T21:22:43+00:00,yes,2020-05-11T21:32:56+00:00,yes,Other
